연도,분기,행정동_코드,행정동_코드_명,유사_업종_점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,개업률,폐업률,업종_밀도,총_등록인구_수,총_유동인구_수,IS_WORKER_MISSING,총_직장_인구_수,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,총_집객시설_수,IS_RENT_MISSING,전체_임대시세,지출총금액,추정매출액,영역_면적,등록1인당지출,유동1인당매출,_면적_km2,유동인구밀도,등록인구밀도,직장인구밀도,유사_업종_점포_수_diff_Y1,유사_업종_점포_수_diff_Y2,유사_업종_점포_수_diff_Y3,유사_업종_점포_수_diff_Y4,개업률_diff_Y1,개업률_diff_Y2,개업률_diff_Y3,개업률_diff_Y4,유동1인당매출_diff_Y1,유동1인당매출_diff_Y2,유동1인당매출_diff_Y3,유동1인당매출_diff_Y4,등록1인당지출_diff_Y1,등록1인당지출_diff_Y2,등록1인당지출_diff_Y3,등록1인당지출_diff_Y4,유동인구밀도_diff_Y1,유동인구밀도_diff_Y2,유동인구밀도_diff_Y3,유동인구밀도_diff_Y4,등록인구밀도_diff_Y1,등록인구밀도_diff_Y2,등록인구밀도_diff_Y3,등록인구밀도_diff_Y4,직장인구밀도_diff_Y1,직장인구밀도_diff_Y2,직장인구밀도_diff_Y3,직장인구밀도_diff_Y4,cluster1,cluster2,neighbor_avg_추정매출액,neighbor_avg_총_유동인구_수,neighbor_avg_개업률,neighbor_avg_폐업률,neighbor_avg_IS_RENT_MISSING,vitality_Y1,vitality_Y2,vitality_Y3,vitality_Y4
2020,1,11110515,청운효자동,6.692083742506628,3.4657359027997265,3.332204510175204,3.218875824868201,3.85,3.35,0.0295588022415444,12960,15.099848325726088,0,8.776012719182917,4.543294782270004,1.9459101490553128,1.3862943611198906,0.0,0.0,1.6094379124341005,0.6931471805599453,1.0,2.0,1.0986122886681098,2.19722457733622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.295836866004329,4.990432586778736,0,11.779986375217517,21.369270046494098,23.471274253603216,14.75880654328546,11.89965386884235,8.371657563196996,1.2721262836218112,14.156553163942403,5045.88013231419,7.83295924797337,0.0111043707342348,0.0135553523533751,0.0160003413464417,0.0329498996602151,-0.7800000000000002,-0.6600000000000001,-0.92,0.1200000000000001,0.1330530001077985,0.1020797576077665,0.1359651403836519,0.2519926079100063,0.1154310040253356,0.2013177786411653,0.1602033903034474,0.1982445587392298,0.0257257045602656,0.0160108233219986,0.0102792523404211,0.0154720708865223,-40.8809732942118,-98.11433590610886,-127.3150311162608,-261.6382290829579,0.0,0.0,-0.0351874191147834,-0.0351874191147834,1,1,23.08446697697936,14.622900728749691,3.3905302018567243,2.8188581977880176,0.1240930309252527,-0.5078331003626725,-0.4528019877985847,-0.5455961147241742,-0.2120893356805903
2020,1,11110530,사직동,7.884199933676039,4.382026634673881,4.30406509320417,5.241747015059643,2.98,2.75,0.2070141693843261,9841,15.192415223545645,0,10.702749963884775,5.332718793265369,2.9444389791664403,3.218875824868201,0.0,0.0,2.772588722239781,0.0,1.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,1.0986122886681098,3.555348061489413,5.723585101952381,0,11.860655522427155,24.38128682865204,24.7602726168783,13.962668560195237,15.186974471462545,9.567927584289496,0.7694302141230986,15.045258124480544,8494.341133982889,10.555596389174324,0.0060082794339217,0.0164366793419654,0.0186572576045422,0.0104909167495845,-0.02,-0.2399999999999997,0.1299999999999999,-0.71,0.1248411504325304,0.0754742583421226,0.111612964735146,0.2552577198968837,0.0293074711466871,-0.0360470366516239,0.0102138726302669,0.0414549843304072,-0.0172672130732518,-0.0229948168361708,-0.035448162841897,-0.0722114311815129,-46.610549866383735,6.042108316012673,-30.210541580063364,-24.16843326405069,0.0,0.0,0.0294639599647776,0.0294639599647776,0,3,23.68323295750148,15.009809760390816,3.494687139861617,2.9785480884080813,0.0953106768810309,0.7292943945167963,0.7032827361400599,0.7167228253079498,0.7119949165209328
2020,1,11110540,삼청동,6.523562306149512,3.091042453358316,2.8903717578961645,3.8501476017100575,3.09,2.5,0.048790164169432,2993,13.706217877023285,0,8.271804031154709,3.912023005428146,2.3978952727983707,1.6094379124341005,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,1.0,0.6931471805599453,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.833213344056216,4.454347296253507,0,11.649194357221214,21.24447575738878,23.526357748242447,14.207049816640229,13.24044602618907,9.82019533109287,0.907958111820997,13.3146798289665,2023.3157907189768,7.880387949937714,-0.0088496152769819,0.0,-0.0073692301065477,-0.0207722602338886,-0.8599999999999999,-1.62,-0.5699999999999998,-1.59,0.2632395174461113,0.3247771860988298,0.4031583940936123,0.5012172844512239,0.1324286623760002,0.0244538000085476,0.1889671541728503,0.1108372960958838,0.0127795711260159,-0.0382935709598033,-0.0259223999900495,-0.0537181047153598,-13.520319349943064,-20.956494992411763,-56.78534126976069,-128.443033824459,0.0,0.0,-0.2627365334241531,-0.2627365334241531,0,1,23.845581771658527,15.05685792012416,3.0657722358424686,2.8891562425024597,0.0,-0.3317728379091855,-0.45906393492311337,-0.3137327407347321,-0.3926000728836841
2020,1,11110550,부암동,6.12029741895095,2.833213344056216,2.4849066497880004,3.49650756146648,3.52,2.42,0.0198026272961797,10597,14.069724777782795,0,7.323170717943469,4.442651256490317,1.6094379124341005,1.0986122886681098,0.0,0.0,0.6931471805599453,0.6931471805599453,2.0,1.0,0.6931471805599453,2.70805020110221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6635616461296463,5.003946305945459,0,11.392124128824324,20.72534168188868,21.83537387755943,14.637376318121792,11.457026034685097,7.76607383903626,1.1862381712549388,13.247860445828358,4658.556432188484,6.502146455489381,0.008752791109595,0.0303053494953289,0.0260318387179472,0.032435275753154,-1.77,-0.7400000000000002,-0.94,-0.3199999999999998,0.3143182209253226,0.276487338583772,0.2496530826323724,0.6510501833732558,0.1854909813059873,0.1173938067293658,0.1870799211594764,0.1054857522369001,0.0078115181271485,-0.0213761906085121,0.0047180034439833,-0.0045487012983418,-77.3715138308171,-109.90271850968384,-116.0572707462261,-232.1145414924522,0.0,0.0,0.1227336014082078,0.1227336014082078,1,2,23.442465885477148,14.909613105000062,3.3351236378528166,3.0680277910716245,0.0,-1.168501034741885,-1.0153554875217468,-1.072506923150084,-0.7989972513424624
2020,1,11110560,평창동,6.483107351457199,2.772588722239781,2.8903717578961645,3.6375861597263857,2.3,2.6,0.009950330853168,18768,13.854557217509566,0,9.467073426283948,5.093750200806762,1.9459101490553128,1.0986122886681098,0.0,0.6931471805599453,1.791759469228055,0.6931471805599453,0.0,0.0,0.6931471805599453,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5217885770490405,5.605802066295998,0,11.364866194779289,21.54441477527848,22.870507673376167,16.006865609956037,11.704514460440812,9.016072866941109,2.2973039723928825,11.663209920245514,2097.6094762592807,7.276333082332711,0.0196826944584245,0.0271509890659507,0.02267670867103,0.0181823190831904,1.0,-0.2099999999999999,-0.1999999999999997,-1.2499999999999998,0.1863453573078626,0.1968605100620859,0.0279594460628072,0.1487381891587613,0.086469615421878,0.0824415101290156,0.0292108717260859,-0.0386112379256786,0.0176680776486133,0.0022555224387232,0.0082623454534687,0.0014242224684259,-8.047095177465053,-16.764781619719088,-20.78832920845161,-30.9589633910814,0.0,0.0,-0.088031352747059,-0.088031352747059,1,2,22.870507673376167,13.854557217509566,2.3,2.6,0.0,-0.815065878693622,-0.9799812615808946,-1.0558829871896742,-1.1518270089229217
2020,1,11110570,무악동,5.220355825078324,1.9459101490553128,1.3862943611198906,3.1354942159291497,3.26,1.63,0.048790164169432,8767,14.489126234470811,0,6.113682179832232,3.7612001156935615,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.0,1.6094379124341005,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2.079441541679836,4.110873864173311,1,0.0,21.211410174663005,22.19312619343513,12.81996285131429,12.1326656033176,7.7044513861982145,0.3144603134843858,15.484676325872911,23725.373457458325,7.107836751702458,0.037139546949457,0.0526437334854223,0.0475023339850038,0.037139546949457,2.5,0.3500000000000001,-1.19,-1.17,0.0976843688950186,0.0845559415860117,0.1552112265172809,0.5434446945330214,0.0992225250503722,0.1542432784465592,0.1469133892255918,0.0986353294986095,-0.0235388571225563,-0.0092672301082199,0.003313704644027,-0.0157667172679438,-205.67222342498644,-303.09590820523954,-473.58735657068974,-925.52500541243,0.0,0.0,-0.0453212610693789,-0.0453212610693789,2,3,23.40186328989885,15.230772186589938,3.76172199046472,3.2459192951153906,0.0,-0.2804372264832926,-0.5277284862925504,-0.8027783699325594,-0.6655336963021088
2020,1,11110580,교남동,5.8971538676367405,3.091042453358316,2.772588722239781,4.110873864173311,5.79,4.13,0.0953101798043248,10750,15.018767205911436,0,6.570882962339584,4.3694478524670215,1.6094379124341005,1.3862943611198906,1.0986122886681098,0.0,2.8903717578961645,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.295836866004329,4.890349128221754,0,12.104006696821775,20.985816238704665,22.05048049894512,12.756869662157378,11.7031634720373,7.032596619666817,0.2978249590223326,16.077410788110683,30986.43514755308,7.628611652568252,0.0217399866364056,0.0136427764037865,0.0271019297777916,0.0377403279828474,-0.9400000000000004,-3.34,0.3799999999999999,-3.14,-0.0475632727782455,-0.0037143574538944,0.3900673587353784,0.8382373431441117,0.0528143601926629,0.0228685954588794,0.2068045664271576,0.2800541158069087,-0.0362439371543814,-0.0368944450809038,-0.0300190745515465,-0.0514986254314315,-184.47738134357127,-259.4213175143959,-334.36525368522416,-1054.9800245585502,0.0,0.0,0.016682184715413,0.016682184715413,2,3,23.85545599009694,15.22282589483444,3.2372768072864315,2.8755580733002937,0.1238728841329399,-0.2874564367851638,-0.6050920442467054,0.0074958183841662045,-0.32395872997682335
2020,1,11110600,가회동,6.369900982828227,2.70805020110221,2.9444389791664403,3.951243718581428,2.4,3.09,0.1043600153242427,4464,14.109292239917371,0,9.311451873344597,4.158883083359672,1.791759469228055,1.3862943611198906,0.0,0.0,0.6931471805599453,0.6931471805599453,1.0,1.0,1.0986122886681098,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1354942159291497,4.61512051684126,0,11.835740580500785,20.95495754920613,23.16211920490838,13.19924293373918,12.551160585148445,9.052944763050258,0.4317531952193817,14.725561373211294,8267.355612967747,9.927679768358988,0.0051238369998696,0.0220161305643751,0.0136056520557783,0.016978336534418,0.6699999999999999,0.79,-0.3700000000000001,-0.2099999999999999,0.160192119032752,0.1331833596086191,0.2385124818140021,0.4748182186353542,0.159168514303694,0.1345602216052039,0.2200190609892605,0.2442988826908401,-0.0308460530330165,-0.0482967848452755,-0.0540760613950865,-0.1108478528613012,-20.37206804270681,-77.78425979942676,-85.19228454222957,-309.28503301201,0.0,0.0,0.1465351891578468,0.1465351891578468,0,1,24.609007394270208,15.280967582159445,3.0963864016927567,2.7515081878338177,0.0,-0.13672262979988412,-0.09446819457520957,-0.2851095919169698,-0.13336110413769023
2020,1,11110615,종로1234가동,9.26302769425519,5.517452896464707,5.4638318050256105,6.364750756851911,2.35,2.23,0.3646431135879093,8539,16.419842080042145,0,11.668868822704118,6.2166061010848646,2.995732273553991,3.58351893845611,0.0,0.0,3.871201010907891,0.6931471805599453,2.0,0.0,0.0,1.6094379124341005,0.0,0.6931471805599453,1.791759469228055,2.8903717578961645,0.0,0.0,0.0,1.791759469228055,4.290459441148391,6.563855526532128,0,12.180159788744586,24.965140741427103,26.59640585921452,14.698108819751944,15.912741680301092,10.176601904134063,1.228813015779157,15.537244336764568,3532.6420844863683,10.786283099973142,-0.0022794197351618,0.0,0.0006638532179881,-0.0046593532684244,-0.51,-0.1600000000000001,-0.2200000000000002,-0.8800000000000001,0.0922619173070149,0.1168503767580215,0.1825267278518083,0.3703232775246032,0.9591191029005586,1.0186185337266025,1.102893546568147,1.1205738178180835,-0.0462300917763602,-0.0774768635095011,-0.1182234144945848,-0.1593828123661804,-5.378187972633896,-50.05851882220986,-37.64731580843864,-37.23360904131323,0.0,0.0,-0.0157117683362137,-0.0157117683362137,0,3,24.5509101246517,15.10377433840542,3.104623260783321,2.7621282796125266,0.0,1.2645451008161077,1.3285849600979818,1.2893000701057462,1.2900682420693366
2020,1,11110630,종로56가동,7.5883236773352225,4.158883083359672,3.871201010907891,4.532599493153256,3.19,2.38,0.2851789422336624,5853,15.69240650877461,0,10.001203926042198,5.3612921657094255,2.079441541679836,2.19722457733622,0.0,0.0,3.4657359027997265,0.0,1.0,0.0,0.0,0.6931471805599453,0.0,1.6094379124341005,0.0,1.3862943611198906,0.0,0.0,0.0,0.6931471805599453,3.1780538303479458,5.676753802268282,0,12.438707016197718,22.55806835249206,25.11330976474047,13.309951043870782,13.883359657443098,9.42098441853515,0.4719810478642233,16.197967620041318,9703.78021344006,10.506747103374828,0.0010121458353946,0.0055541672698957,0.0025284463533585,0.0095742731865611,-1.3199999999999998,-0.4199999999999999,-1.62,-1.0299999999999998,0.054210238280568,-0.030160161066977,0.0432235921003325,0.0895655163384319,0.1026481990550856,0.0815167912760994,0.1381183141775448,0.0625802683569158,0.0049819111560971,-0.011327626279872,-0.0069790888848224,-0.0272450048441399,-87.86952867116452,-72.94828795341891,-326.60938015508145,-268.58233291940815,0.0,0.0,0.0014500240619987,0.0014500240619987,0,2,23.872163892825643,15.299468941768888,3.4623740171785005,2.8723607800535054,0.0,0.45760998894704197,0.5872623538006692,0.3788730925534827,0.551539792335168
